Teller,Lijsten,LijstIDs,LijstID,MainID,VraagID,Hierarchy,Recur,L_Inactief,V_Inactief,L_Herhaalbaar,V_Herhaalbaar,VTrigger,TreelayID,isTriggered,CHILDID,ONZZANTW,TYPE,STELLING,METADATA,KORTEOMS,STATOMSCHR,PROTOCOL,CONTROLID,NAAM,KEUZELIJST,CATEGORIE,VERVALLEN,BVT_TRIGG,BRON_PROTOCOL,BRON_REFER_PROTOCOL,VERSIE_PROTOCOL,DEFINITIE_PROTOCOL,VRIJE_CODE_PROTOCOL,LSTOBJPD,BEREKENING,HERHAALBAA,BVT_WIZAC,I_LijstID,ValidFrom_UTC_x,ValidTo_UTC_x
40,Metabole Diagnostiek (basis- en enzymdiagnostiek)(S);,1000001584,1000001584,1000001584,1000025125,20000707281000025125,1,0,0,0,0,,2000070728,,1000025125,0,V,E-mailadres Metabole ziekten,NULL,skip_E-mailadres Metabole ziekten,E-mailadres Metabole ziekten,,0000000001,Memo,,KLG,0,0,NULL,NULL,NULL,NULL,NULL,,"Expressie='informatie-aMEZ@umcutrecht.nl',Decimalen=0,Aanpasbaar=0,MsgTonen=0,Initieel=0,AllesIngevuld=0,RekenVeldPad=2000070728",0,0,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
14,Studie inclusie(S);,UU00005008,UU00005008,UU00005008,1000025132,20000707371000025132,1,0,0,0,0,,2000070737,,1000025132,0,V,Datum eerste studiehandeling,NULL,Datum eerste studiehandeling,Datum eerste studiehandeling,,0000000006,Datum,,ALG,0,0,NULL,NULL,NULL,NULL,NULL,,,0,1,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
3,Studie inclusie(S);,UU00005008,UU00005008,UU00005008,1000025133,20000707381000025133,1,0,0,0,0,,2000070738,,1000025133,0,V,Naam ingestemde studie,NULL,Naam ingestemde studie,Naam ingestemde studie,,0000000012,Gegevens keuzelijst,,ALG,0,0,NULL,NULL,NULL,NULL,NULL,,,0,0,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
119,Postnataal chromosomenonderzoek(S);Fish;,10000023031000006945,1000006945,1000002303,1000025110,200007074120000707421000025110,2,0,0,0,0,,2000070742,,1000025110,0,V,FISH,NULL,ondOBR_Onderzoek,FISH,,0000000007,Meerkeuzelijst,2000005436,KLG,0,0,NULL,NULL,NULL,NULL,NULL,,"""Expressie={Antwoord Onderzoek verwijst naar keuzelijst Onderzoek id 2000002212. Daar heeft item FISH een score van 10
Antwoord Materiaal verwijst naar keuzelijst Materiaal Postnataal id 2000002213. Daar hebben items Bloed en Lymfocyten beide score 1
De id's 36011 en 36012 zijn de 2 items in de keuzelijst FISH .
Dus als onderzoek FISH is gekozen PLUS (Bloed of Lymfocyten) dan wordt item 36011 (FISH icm bloed) getoond en anders item 36012 (FISH icm Weefsel)
}
if(Antwoord('2000026681,2000026683')=10,
    if(Antwoord('2000026686,2000026688')=1,
        '2000036011',
        '2000036012'
    ),
    ''
)"",Decimalen=0,Aanpasbaar=0,MsgTonen=0,Initieel=0,AllesIngevuld=0,""RekenVeldPad=2000070741,2000070742""",0,0,NULL,2025-02-19 23:16:54,9999-12-31 23:59:59
1,Aantekeningen(S);,1000006986,1000006986,1000006986,1000025247,20000709441000025247,1,0,0,0,0,,2000070944,,1000025247,0,V,Aantekeningen,NULL,Aantekeningen,,,0000000001,Memo,,VAS,0,0,NULL,NULL,NULL,NULL,NULL,,,0,0,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
26,UCC-SMART Baseline(S);,UU00010771,UU00010771,UU00010771,1000025571,20000716471000025571,1,0,0,0,0,,2000071647,,1000025571,0,V,Behandelaar,NULL,Behandelaar,,,0000000001,Memo,,VAS,0,0,NULL,NULL,NULL,NULL,NULL,,,0,0,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
20,SMART-2 Baseline(S);,UU00010774,UU00010774,UU00010774,1000025572,20000716481000025572,1,0,0,0,0,,2000071648,,1000025572,0,V,Behandelaar,NULL,Behandelaar,,,0000000001,Memo,,VAS,0,0,NULL,NULL,NULL,NULL,NULL,,,0,0,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
1,Overige bepalingen Immuno(S);,1000007074,1000007074,1000007074,1000025581,20000716621000025581,1,0,0,0,0,,2000071662,,1000025581,0,V,Telefonisch overleg gehad met:,NULL,Immuno: Telefonisch overleg gehad met:,Telefonisch overleg gehad met:,,0000000001,Memo,,LABKCL,0,0,NULL,NULL,NULL,NULL,NULL,,,0,0,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
2,Overige bepalingen Immuno(S);,1000007074,1000007074,1000007074,1000025582,20000716631000025582,1,0,0,0,0,,2000071663,,1000025582,0,V,"Geef de ""Overige"" bepaling op:",NULL,"Immuno: Geef de ""Overige"" bepaling op:","Geef de ""Overige"" bepaling op:",,0000000001,Memo,,LABKCL,0,0,NULL,NULL,NULL,NULL,NULL,,,0,0,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
1,DHL Checklist LoTX ontslagthemas(S);Checklist LoTX ontslagthemas;,10000071681000007169,1000007169,1000007168,1000026393,200007302520000730261000026393,2,0,0,0,0,,2000073026,,1000026393,0,V,Uitleg ontslagthema's,NULL,Uitleg ontslagthema's,,http://richtlijn.mijnumc.nl/Medisch/Divisies/HartenLongen/Longziekten/Paginas/Zorgmap-LotX.aspx,0000000001,Memo,,VPKOD,0,0,NULL,NULL,NULL,NULL,NULL,,"""Expressie=`Klik op de vraag om de link naar de Ontslagthema's te volgen`"",Decimalen=0,Aanpasbaar=0,MsgTonen=0,Initieel=0,AllesIngevuld=0,""RekenVeldPad=2000073025,2000073026""",0,0,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
2,DHL Checklist LoTX ontslagthemas(S);Checklist LoTX ontslagthemas;Checklist medicatie in eigen beheer;,100000716810000071691000007170,1000007170,1000007168,1000026395,2000073025200007302720000730391000026395,3,0,0,0,0,1000026395,2000073039,,1000026395,0,V,Medicatie uitleglijst maken,NULL,Medicatie uitleglijst maken,,,0000000002,Keuzeselectiegroep,2000005557,VPKOD,0,1,NULL,NULL,NULL,NULL,NULL,,,0,0,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
3,DHL Checklist LoTX ontslagthemas(S);Checklist LoTX ontslagthemas;Checklist medicatie in eigen beheer;,100000716810000071691000007170,1000007170,1000007168,1000026402,20000730252000073027200007303920000730461000026402,4,0,0,0,0,,2000073046,1000026395,1000026402,0,V,Datum medicatie uitleglijst maken,NULL,Datum medicatie uitleglijst maken,,,0000000006,Datum,,VPKOD,0,0,NULL,NULL,NULL,NULL,NULL,,,0,1,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
4,DHL Checklist LoTX ontslagthemas(S);Checklist LoTX ontslagthemas;Checklist medicatie in eigen beheer;,100000716810000071691000007170,1000007170,1000007168,1000026396,2000073025200007302720000730401000026396,3,0,0,0,0,1000026396,2000073040,,1000026396,0,V,Folder medicijngebruik na loTX geven,NULL,Folder medicijngebruik na loTX geven,,,0000000002,Keuzeselectiegroep,2000005557,VPKOD,0,1,NULL,NULL,NULL,NULL,NULL,,,0,1,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
5,DHL Checklist LoTX ontslagthemas(S);Checklist LoTX ontslagthemas;Checklist medicatie in eigen beheer;,100000716810000071691000007170,1000007170,1000007168,1000026403,20000730252000073027200007304020000730491000026403,4,0,0,0,0,,2000073049,1000026396,1000026403,0,V,Datum folder medicijngebruik na loTX geven,NULL,Datum folder medicijngebruik na loTX geven,,,0000000006,Datum,,VPKOD,0,0,NULL,NULL,NULL,NULL,NULL,,,0,1,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
6,DHL Checklist LoTX ontslagthemas(S);Checklist LoTX ontslagthemas;Checklist medicatie in eigen beheer;,100000716810000071691000007170,1000007170,1000007168,1000026397,2000073025200007302720000730411000026397,3,0,0,0,0,1000026397,2000073041,,1000026397,0,V,"Werking, bijwerkingen en interactie mondeling besproken",NULL,"Werking, bijwerkingen en interactie mondeling besproken",,,0000000002,Keuzeselectiegroep,2000005557,VPKOD,0,1,NULL,NULL,NULL,NULL,NULL,,,0,1,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
7,DHL Checklist LoTX ontslagthemas(S);Checklist LoTX ontslagthemas;Checklist medicatie in eigen beheer;,100000716810000071691000007170,1000007170,1000007168,1000026404,20000730252000073027200007304120000730521000026404,4,0,0,0,0,,2000073052,1000026397,1000026404,0,V,"Datum werking, bijwerkingen en interactie mondeling besproken",NULL,"Datum werking, bijwerkingen en interactie mondeling besproken",,,0000000006,Datum,,VPKOD,0,0,NULL,NULL,NULL,NULL,NULL,,,0,1,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
8,DHL Checklist LoTX ontslagthemas(S);Checklist LoTX ontslagthemas;Checklist medicatie in eigen beheer;,100000716810000071691000007170,1000007170,1000007168,1000026398,2000073025200007302720000730421000026398,3,0,0,0,0,1000026398,2000073042,,1000026398,0,V,Medicatie uitzetlijst maken,NULL,Medicatie uitzetlijst maken,,,0000000002,Keuzeselectiegroep,2000005557,VPKOD,0,1,NULL,NULL,NULL,NULL,NULL,,,0,1,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
9,DHL Checklist LoTX ontslagthemas(S);Checklist LoTX ontslagthemas;Checklist medicatie in eigen beheer;,100000716810000071691000007170,1000007170,1000007168,1000026405,20000730252000073027200007304220000730551000026405,4,0,0,0,0,,2000073055,1000026398,1000026405,0,V,Datum medicatie uitzetlijst maken,NULL,Datum medicatie uitzetlijst maken,,,0000000006,Datum,,VPKOD,0,0,NULL,NULL,NULL,NULL,NULL,,,0,1,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
10,DHL Checklist LoTX ontslagthemas(S);Checklist LoTX ontslagthemas;Checklist medicatie in eigen beheer;,100000716810000071691000007170,1000007170,1000007168,1000026399,2000073025200007302720000730431000026399,3,0,0,0,0,1000026399,2000073043,,1000026399,0,V,Medicijnen bij patient uitzetten,NULL,Medicijnen bij patient uitzetten,,,0000000002,Keuzeselectiegroep,2000005557,VPKOD,0,1,NULL,NULL,NULL,NULL,NULL,,,0,1,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
11,DHL Checklist LoTX ontslagthemas(S);Checklist LoTX ontslagthemas;Checklist medicatie in eigen beheer;,100000716810000071691000007170,1000007170,1000007168,1000026406,20000730252000073027200007304320000730561000026406,4,0,0,0,0,,2000073056,1000026399,1000026406,0,V,Datum medicijnen bij patient uitzetten,NULL,Datum medicijnen bij patient uitzetten,,,0000000006,Datum,,VPKOD,0,0,NULL,NULL,NULL,NULL,NULL,,,0,1,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
12,DHL Checklist LoTX ontslagthemas(S);Checklist LoTX ontslagthemas;Checklist medicatie in eigen beheer;,100000716810000071691000007170,1000007170,1000007168,1000026401,2000073025200007302720000730451000026401,3,0,0,0,0,1000026401,2000073045,,1000026401,0,V,Patient medicijnen laten uitzetten en controle,NULL,Patient medicijnen laten uitzetten en controle,,,0000000002,Keuzeselectiegroep,2000005557,VPKOD,0,1,NULL,NULL,NULL,NULL,NULL,,,0,1,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
13,DHL Checklist LoTX ontslagthemas(S);Checklist LoTX ontslagthemas;Checklist medicatie in eigen beheer;,100000716810000071691000007170,1000007170,1000007168,1000026407,20000730252000073027200007304520000730571000026407,4,0,0,0,0,,2000073057,1000026401,1000026407,0,V,Datum patient medicijnen laten uitzetten en controle,NULL,Datum patient medicijnen laten uitzetten en controle,,,0000000006,Datum,,VPKOD,0,0,NULL,NULL,NULL,NULL,NULL,,,0,1,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
14,DHL Checklist LoTX ontslagthemas(S);Checklist LoTX ontslagthemas;Medicatie;,100000716810000071691000007171,1000007171,1000007168,1000026408,2000073025200007302820000730581000026408,3,0,0,0,0,1000026408,2000073058,,1000026408,0,V,Evaluatie,NULL,Evaluatie,,,0000000014,Afvinken met tekst,,VPKOD,0,1,NULL,NULL,NULL,NULL,NULL,,,0,0,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
15,DHL Checklist LoTX ontslagthemas(S);Checklist LoTX ontslagthemas;Medicatie;,100000716810000071691000007171,1000007171,1000007168,1000026409,20000730252000073028200007305820000730591000026409,4,0,0,0,0,,2000073059,1000026408,1000026409,0,V,Datum evaluatie besproken,NULL,Datum evaluatie besproken,,,0000000006,Datum,,VPKOD,0,0,NULL,NULL,NULL,NULL,NULL,,,0,1,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
16,DHL Checklist LoTX ontslagthemas(S);Checklist LoTX ontslagthemas;Medicatie;,100000716810000071691000007171,1000007171,1000007168,1000026410,2000073025200007302820000730611000026410,3,0,0,0,0,1000026410,2000073061,,1000026410,0,V,Prograft,NULL,Prograft,,,0000000014,Afvinken met tekst,,VPKOD,0,1,NULL,NULL,NULL,NULL,NULL,,,0,0,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
17,DHL Checklist LoTX ontslagthemas(S);Checklist LoTX ontslagthemas;Medicatie;,100000716810000071691000007171,1000007171,1000007168,1000026411,20000730252000073028200007306120000730601000026411,4,0,0,0,0,,2000073060,1000026410,1000026411,0,V,Datum prograft besproken,NULL,Datum prograft besproken,,,0000000006,Datum,,VPKOD,0,0,NULL,NULL,NULL,NULL,NULL,,,0,1,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
18,DHL Checklist LoTX ontslagthemas(S);Checklist LoTX ontslagthemas;Medicatie;,100000716810000071691000007171,1000007171,1000007168,1000026412,2000073025200007302820000730631000026412,3,0,0,0,0,1000026412,2000073063,,1000026412,0,V,Cellcept,NULL,Cellcept,,,0000000014,Afvinken met tekst,,VPKOD,0,1,NULL,NULL,NULL,NULL,NULL,,,0,0,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
19,DHL Checklist LoTX ontslagthemas(S);Checklist LoTX ontslagthemas;Medicatie;,100000716810000071691000007171,1000007171,1000007168,1000026413,20000730252000073028200007306320000730621000026413,4,0,0,0,0,,2000073062,1000026412,1000026413,0,V,Datum cellcept besproken,NULL,Datum cellcept besproken,,,0000000006,Datum,,VPKOD,0,0,NULL,NULL,NULL,NULL,NULL,,,0,1,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
20,DHL Checklist LoTX ontslagthemas(S);Checklist LoTX ontslagthemas;Medicatie;,100000716810000071691000007171,1000007171,1000007168,1000026414,2000073025200007302820000730651000026414,3,0,0,0,0,1000026414,2000073065,,1000026414,0,V,Braken,NULL,Braken,,,0000000014,Afvinken met tekst,,VPKOD,0,1,NULL,NULL,NULL,NULL,NULL,,,0,0,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
21,DHL Checklist LoTX ontslagthemas(S);Checklist LoTX ontslagthemas;Medicatie;,100000716810000071691000007171,1000007171,1000007168,1000026415,20000730252000073028200007306520000730641000026415,4,0,0,0,0,,2000073064,1000026414,1000026415,0,V,Datum braken besproken,NULL,Datum braken besproken,,,0000000006,Datum,,VPKOD,0,0,NULL,NULL,NULL,NULL,NULL,,,0,1,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
22,DHL Checklist LoTX ontslagthemas(S);Checklist LoTX ontslagthemas;Medicatie;,100000716810000071691000007171,1000007171,1000007168,1000026416,2000073025200007302820000730671000026416,3,0,0,0,0,1000026416,2000073067,,1000026416,0,V,Algemeen,NULL,Algemeen,,,0000000014,Afvinken met tekst,,VPKOD,0,1,NULL,NULL,NULL,NULL,NULL,,,0,0,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
23,DHL Checklist LoTX ontslagthemas(S);Checklist LoTX ontslagthemas;Medicatie;,100000716810000071691000007171,1000007171,1000007168,1000026417,20000730252000073028200007306720000730661000026417,4,0,0,0,0,,2000073066,1000026416,1000026417,0,V,Datum algemeen besproken,NULL,Datum algemeen besproken,,,0000000006,Datum,,VPKOD,0,0,NULL,NULL,NULL,NULL,NULL,,,0,1,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
24,DHL Checklist LoTX ontslagthemas(S);Checklist LoTX ontslagthemas;Medicatie;,100000716810000071691000007171,1000007171,1000007168,1000026418,2000073025200007302820000730691000026418,3,0,0,0,0,1000026418,2000073069,,1000026418,0,V,Alcohol,NULL,Alcohol,,,0000000014,Afvinken met tekst,,VPKOD,0,1,NULL,NULL,NULL,NULL,NULL,,,0,0,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
25,DHL Checklist LoTX ontslagthemas(S);Checklist LoTX ontslagthemas;Medicatie;,100000716810000071691000007171,1000007171,1000007168,1000026419,20000730252000073028200007306920000730681000026419,4,0,0,0,0,,2000073068,1000026418,1000026419,0,V,Datum alcohol besproken,NULL,Datum alcohol besproken,,,0000000006,Datum,,VPKOD,0,0,NULL,NULL,NULL,NULL,NULL,,,0,1,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
26,DHL Checklist LoTX ontslagthemas(S);Checklist LoTX ontslagthemas;Medicatie;,100000716810000071691000007171,1000007171,1000007168,1000026420,2000073025200007302820000730711000026420,3,0,1,0,0,1000026420,2000073071,,1000026420,1,V,Voorlichtingsfilm,NULL,Voorlichtingsfilm,,,0000000014,Afvinken met tekst,,VPKOD,0,1,NULL,NULL,NULL,NULL,NULL,,,0,0,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
27,DHL Checklist LoTX ontslagthemas(S);Checklist LoTX ontslagthemas;Medicatie;,100000716810000071691000007171,1000007171,1000007168,1000026421,20000730252000073028200007307120000730701000026421,4,0,1,0,0,,2000073070,1000026420,1000026421,0,V,Datum voorlichtingsfilm besproken,NULL,Datum voorlichtingsfilm besproken,,,0000000006,Datum,,VPKOD,0,0,NULL,NULL,NULL,NULL,NULL,,,0,1,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
28,DHL Checklist LoTX ontslagthemas(S);Checklist LoTX ontslagthemas;Medicatie;,100000716810000071691000007171,1000007171,1000007168,1000026422,2000073025200007302820000730721000026422,3,0,0,0,0,,2000073072,,1000026422,0,V,Folder meegegeven?,NULL,Folder meegegeven?,,,0000000014,Afvinken met tekst,,VPKOD,0,0,NULL,NULL,NULL,NULL,NULL,,,0,0,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
29,DHL Checklist LoTX ontslagthemas(S);Checklist LoTX ontslagthemas;Medicatie;,100000716810000071691000007171,1000007171,1000007168,1000075510,2000073025200007302820001522531000075510,3,0,0,0,0,1000075510,2000152253,,1000075510,0,V,Vernevel apparaat besteld als bekend is dat patiënt met vernevelingen naar huis gaat?,NULL,Vernevel apparaat besteld als bekend is dat patiënt met vernevelingen naar huis gaat?,Vernevel apparaat besteld als bekend is dat patiënt met vernevelingen naar huis gaat?,,0000000014,Afvinken met tekst,,VPKOD,0,0,NULL,NULL,NULL,NULL,NULL,,,0,0,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
30,DHL Checklist LoTX ontslagthemas(S);Checklist LoTX ontslagthemas;Medicatie;,100000716810000071691000007171,1000007171,1000007168,1000075511,20000730252000073028200015225320001522541000075511,4,0,0,0,0,,2000152254,1000075510,1000075511,0,V,Datum,NULL,datum Vernevel apparaat besteld als bekend is dat patiënt met vernevelingen naar huis gaat?,Datum,,0000000006,Datum,,VPKOD,0,0,NULL,NULL,NULL,NULL,NULL,,,0,1,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
31,DHL Checklist LoTX ontslagthemas(S);Checklist LoTX ontslagthemas;Medicatie;,100000716810000071691000007171,1000007171,1000007168,1000075512,2000073025200007302820001522551000075512,3,0,0,0,0,1000075512,2000152255,,1000075512,0,V,Instructie verneveling(en) bereiden gestart?,NULL,Instructie verneveling(en) bereiden gestart?,Instructie verneveling(en) bereiden gestart?,,0000000014,Afvinken met tekst,,VPKOD,0,0,NULL,NULL,NULL,NULL,NULL,,,0,0,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
32,DHL Checklist LoTX ontslagthemas(S);Checklist LoTX ontslagthemas;Medicatie;,100000716810000071691000007171,1000007171,1000007168,1000075513,20000730252000073028200015225520001522561000075513,4,0,0,0,0,,2000152256,1000075512,1000075513,0,V,Datum,NULL,Datum Instructie verneveling(en) bereiden gestart?,Datum,,0000000006,Datum,,VPKOD,0,0,NULL,NULL,NULL,NULL,NULL,,,0,1,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
33,DHL Checklist LoTX ontslagthemas(S);Checklist LoTX ontslagthemas;Medicatie;,100000716810000071691000007171,1000007171,1000007168,1000075514,2000073025200007302820001522571000075514,3,0,0,0,0,1000075514,2000152257,,1000075514,0,V,Opiaten,NULL,Opiaten,Opiaten,,0000000013,Afvinkhokje,,VPKOD,0,0,NULL,NULL,NULL,NULL,NULL,,,0,0,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
34,DHL Checklist LoTX ontslagthemas(S);Checklist LoTX ontslagthemas;Medicatie;,100000716810000071691000007171,1000007171,1000007168,1000075515,20000730252000073028200015225720001522581000075515,4,0,0,0,0,,2000152258,1000075514,1000075515,0,V,Datum,NULL,Datum Opiaten,Datum,,0000000006,Datum,,VPKOD,0,0,NULL,NULL,NULL,NULL,NULL,,,0,1,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
35,DHL Checklist LoTX ontslagthemas(S);Checklist LoTX ontslagthemas;Medicatie;,100000716810000071691000007171,1000007171,1000007168,1000075516,2000073025200007302820001522601000075516,3,0,0,0,0,1000075516,2000152260,,1000075516,0,V,Medicatielijst in WORD besproken met patiënt,NULL,Medicatielijst in WORD besproken met patiënt,Medicatielijst in WORD besproken met patiënt,,0000000014,Afvinken met tekst,,VPKOD,0,0,NULL,NULL,NULL,NULL,NULL,,,0,0,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
36,DHL Checklist LoTX ontslagthemas(S);Checklist LoTX ontslagthemas;Medicatie;,100000716810000071691000007171,1000007171,1000007168,1000075517,20000730252000073028200015226020001522611000075517,4,0,0,0,0,,2000152261,1000075516,1000075517,0,V,Datum,NULL,Datum Medicatielijst in WORD besproken met patiënt,Datum,,0000000006,Datum,,VPKOD,0,0,NULL,NULL,NULL,NULL,NULL,,,0,1,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
67,DHL Checklist LoTX ontslagthemas(S);Checklist LoTX ontslagthemas;Zelfcontrole na longtransplantatie;,100000716810000071691000007172,1000007172,1000007168,1000026423,2000073025200007302920000730731000026423,3,0,0,0,0,1000026423,2000073073,,1000026423,0,V,Gewicht,NULL,Gewicht,,,0000000014,Afvinken met tekst,,VPKOD,0,1,NULL,NULL,NULL,NULL,NULL,,,0,0,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
68,DHL Checklist LoTX ontslagthemas(S);Checklist LoTX ontslagthemas;Zelfcontrole na longtransplantatie;,100000716810000071691000007172,1000007172,1000007168,1000026424,20000730252000073029200007307320000730741000026424,4,0,0,0,0,,2000073074,1000026423,1000026424,0,V,Datum gewicht besproken,NULL,Datum gewicht besproken,,,0000000006,Datum,,VPKOD,0,0,NULL,NULL,NULL,NULL,NULL,,,0,1,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
69,DHL Checklist LoTX ontslagthemas(S);Checklist LoTX ontslagthemas;Zelfcontrole na longtransplantatie;,100000716810000071691000007172,1000007172,1000007168,1000026425,2000073025200007302920000730761000026425,3,0,0,0,0,1000026425,2000073076,,1000026425,0,V,Temperatuur,NULL,Temperatuur,,,0000000014,Afvinken met tekst,,VPKOD,0,1,NULL,NULL,NULL,NULL,NULL,,,0,0,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
70,DHL Checklist LoTX ontslagthemas(S);Checklist LoTX ontslagthemas;Zelfcontrole na longtransplantatie;,100000716810000071691000007172,1000007172,1000007168,1000026426,20000730252000073029200007307620000730751000026426,4,0,0,0,0,,2000073075,1000026425,1000026426,0,V,Datum temperatuur besproken,NULL,Datum temperatuur besproken,,,0000000006,Datum,,VPKOD,0,0,NULL,NULL,NULL,NULL,NULL,,,0,1,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
71,DHL Checklist LoTX ontslagthemas(S);Checklist LoTX ontslagthemas;Zelfcontrole na longtransplantatie;,100000716810000071691000007172,1000007172,1000007168,1000026427,2000073025200007302920000730781000026427,3,0,0,0,0,1000026427,2000073078,,1000026427,0,V,Longfunctie,NULL,Longfunctie,,,0000000014,Afvinken met tekst,,VPKOD,0,1,NULL,NULL,NULL,NULL,NULL,,,0,0,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
72,DHL Checklist LoTX ontslagthemas(S);Checklist LoTX ontslagthemas;Zelfcontrole na longtransplantatie;,100000716810000071691000007172,1000007172,1000007168,1000026428,20000730252000073029200007307820000730771000026428,4,0,0,0,0,,2000073077,1000026427,1000026428,0,V,Datum longfunctie besproken,NULL,Datum longfunctie besproken,,,0000000006,Datum,,VPKOD,0,0,NULL,NULL,NULL,NULL,NULL,,,0,1,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
73,DHL Checklist LoTX ontslagthemas(S);Checklist LoTX ontslagthemas;Zelfcontrole na longtransplantatie;,100000716810000071691000007172,1000007172,1000007168,1000026429,2000073025200007302920000730801000026429,3,0,0,0,0,1000026429,2000073080,,1000026429,0,V,Contact opnemen,NULL,Contact opnemen,,,0000000014,Afvinken met tekst,,VPKOD,0,1,NULL,NULL,NULL,NULL,NULL,,,0,0,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
74,DHL Checklist LoTX ontslagthemas(S);Checklist LoTX ontslagthemas;Zelfcontrole na longtransplantatie;,100000716810000071691000007172,1000007172,1000007168,1000026430,20000730252000073029200007308020000730791000026430,4,0,0,0,0,,2000073079,1000026429,1000026430,0,V,datum contact opnemen besproken,NULL,datum contact opnemen besproken,,,0000000006,Datum,,VPKOD,0,0,NULL,NULL,NULL,NULL,NULL,,,0,1,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
75,DHL Checklist LoTX ontslagthemas(S);Checklist LoTX ontslagthemas;Lichaamshygiëne;,100000716810000071691000007173,1000007173,1000007168,1000026431,2000073025200007303020000730821000026431,3,0,0,0,0,1000026431,2000073082,,1000026431,0,V,Mondhygiëne & tandarts,NULL,Mondhygiëne & tandarts,,,0000000014,Afvinken met tekst,,VPKOD,0,1,NULL,NULL,NULL,NULL,NULL,,,0,0,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
76,DHL Checklist LoTX ontslagthemas(S);Checklist LoTX ontslagthemas;Lichaamshygiëne;,100000716810000071691000007173,1000007173,1000007168,1000026432,20000730252000073030200007308220000730811000026432,4,0,0,0,0,,2000073081,1000026431,1000026432,0,V,Datum mondhygiëne & tandarts,NULL,Datum mondhygiëne & tandarts,,,0000000006,Datum,,VPKOD,0,0,NULL,NULL,NULL,NULL,NULL,,,0,1,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
77,DHL Checklist LoTX ontslagthemas(S);Checklist LoTX ontslagthemas;Lichaamshygiëne;,100000716810000071691000007173,1000007173,1000007168,1000026433,2000073025200007303020000730841000026433,3,0,0,0,0,1000026433,2000073084,,1000026433,0,V,Huidinspectie- en verzorging,NULL,Huidinspectie- en verzorging,,,0000000014,Afvinken met tekst,,VPKOD,0,1,NULL,NULL,NULL,NULL,NULL,,,0,0,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
