CODE,SEARCHCODE,OMSCHR,MEMO,SOORT,BEDRIJF
PAKIN,PAKIN,Physician assistant Kindergeneeskunde,,LU,
PANEF,PANEF,Physician assistant Nefrologie,,LU,
PANCH,PANCH,Physician assistant Neurochirurgie,,LU,
PAOOG,PAOOG,ZZZ - Physician assistant Oogheelkunde,,X,
PAPLA,PAPLA,ZZZ - Physician assistant Plastische Chirurgie,,X,
PAREV,PAREV,Physician assistant Revalidatie,,LU,
PATINS,PATINS,Patiënteninschrijving,,FU,
PAURO,PAURO,Physician assistant Urologie,,LU,
PAVAS,PAVAS,ZZZ - Physician assistant Vasculaire geneeskunde,,X,
PEDMDW,PEDMDW,Medisch pedagogisch zorgverlener,22/11/23 PEDMDW verhangen van PARMED naar OVZRG i.v.m. te brede rechten op opname. Effectieve configuratie wel gekopieerd vanaf de PARMED. ,LU,
POD1,POD1,Podotherapie Praktijk 1,,X,
PODTHP,PODTHP,ZZZ - Podotherapeut,,X,
PTH,PTH,Pathologie,,O,
PTHADM,PTHADM,Pathologie Administratie,,FU,
POSTKR,POSTKR,Postkamer medewerker,,FU,
RADGEB,RADGEB,Radiologie Gebruikers,,O,
RADNUC,RADNUC,Radiologie en Nucleaire Geneeskunde,,O,
RESCAR,RESCAR,Researchverpleegkundige Cardiologie,,LU,
RESCTC,RESCTC,Researchverpleegkundige Cardiothoracale Chirurgie,,LU,
RESDER,RESDER,Researchverpleegkundige Dermatologie,,LU,
RESHEM,RESHEM,Researchverpleegkundige Hematolgie,,LU,
RESIMM,RESIMM,Researchverpleegkundige Immunologie,,LU,
RESKIN,RESKIN,Researchverpleegkundige Kindergeneeskunde,,LU,
RESKLG,RESKLG,ZZZ - Researchverpleegkundige Klinische Genetica,,X,
RESLON,RESLON,Researchverpleegkundige Longgeneeskunde,,LU,
RESNUC,RESNUC,ZZZ - Researchverpleegkundige Nucleaire Geneeskunde,,X,
RESOOG,RESOOG,ZZZ - Researchverpleegkundige Oogheelkunde,,X,
RESPSO,RESPSO,ZZZ - Researchverpleegkundige Psychologie,,X,
RESPLA,RESPLA,ZZZ - Researchverpleegkundige Plastische chirurgie,,X,
RESRAD,RESRAD,Researchverpleegkundige Radiologie,,FU,
RESTRM,RESTRM,ZZZ - Researchverpleegkundige Traumatologie,,X,
RESVAA,RESVAA,Researchverpleegkundige Vaatchirurgie,,FN,
REVPLN,REVPLN,Revalidatieplanner,,LU,
SECALL,SECALL,Medisch secretaresse / Poli-assistente Allergologie,,LU,
SECCTC,SECCTC,Medisch sec. / Poli-assistente Cardiothoracale Chirurgie,,LU,
GVPINF,GVPINF,ZZZ - Gespecialiseerd verpleegkundige Infectieziekten,,X,
GVPONC,GVPONC,Gespecialiseerd verpleegkundige Oncologie,,LU,
GVPORT,GVPORT,Gespecialiseerd verpleegkundige Orthopedie,,LU,
GVPPYN,GVPPYN,Gespecialiseerd verpleegkundige Pijngeneeskunde,,LU,
HAPHIO,HAPHIO,HAP Huisarts in opleiding,,FU,
HAPHIS,HAPHIS,Huisartsenpost en Huisartsen,,O,
HISASS,HISASS,HIS Assistent,,X,
INRCNT,INRCNT,Inrichtingcontrole,,FU,
KCLANA,KCLANA,KCL Analist,,FN,
KLIAFD,KLIAFD,Medewerkers verpleegafdelingen,,O,
KLIREV,KLIREV,ZZZ - Klinisch revalidatieplanner,,X,
KLIVOE,KLIVOE,ZZZ - Voedingsassistent,,X,
KSIC,KSIC,Secretaresse IC,,LU,
KVBWC,KVBWC,ZZZ - Verpleegkundige BWC,,X,
KVCC,KVCC,Verpleegkundige CC,,LU,
KVTMP,KVTMP,Verpleegk. kliniek (tijdelijke groep met maximale rechten),,T,
KZAHA,KZAHA,KZ Huisarts,,X,
KZAKAD,KZAKAD,KZ Kaderarts,,X,
KZFYS,KZFYS,KZ Fysiotherapeut,,X,
KZPED,KZPED,KZ Pedicure,,X,
KZPODA,KZPODA,Ketenzorg podotherapie administraties,,Z,
ZH0003,&TESTU,Aanvullend - Mag inloggen met testgebruikers UMC Utrecht,Alleen als Inloggroep aanbieden,FN,
MBGAZV,MBGAZV,Mobile Gebuikers Account Zorgverlener,,Z,
MEDSEC,MEDSEC,Medisch secretaresse / Poli-assistente,,FN,
ZH0006,&TESTMG,Aanvullend - Mag inloggen met testgebruikers MGGZ,,ZH00000039,
MONCTC,MONCTC,Monitor Cardiothoracale Chirurgie,,LU,
MONDER,MONDER,Monitor Dermatologie,,LU,
MONINT,MONINT,Monitor Interne Geneeskunde,,LU,
MONKNO,MONKNO,Monitor KNO,,LU,
MONLON,MONLON,Monitor Longgeneeskunde,,LU,
MONPSO,MONPSO,Monitor Psychologie,,LU,
MONRAD,MONRAD,Monitor Radiologie,,LU,
MONREV,MONREV,Monitor Revalidatie,,LU,
NUCGEB,NUCGEBZZ,ZZZ - Nucleaire Geneeskunde Gebruikers,slapend gemaakt omdat vanuit radiologie de nucleaire geneeskunde niet gebruikt wilt worden actiepunt 2027,X,
OK,OK,OK,,O,
OKGEB,OKGEB,OK Gebruikers,,O,
OND,OND,Onderzoek,,O,
ONDCHI,ONDCHI,Onderzoeksmedewerker Chirurgie,,LU,
ONDCTC,ONDCTC,Onderzoeksmedewerker Cardiothoracale Chirurgie,,LU,
ONDIMM,ONDIMM,Onderzoeksmedewerker Immunologie,,FN,
ONDKLG,ONDKLG,Onderzoeksmedewerker Klinische Genetica,,LU,
ONDLON,ONDLON,Onderzoeksmedewerker Longgeneeskunde,,LU,
ONDNUC,ONDNUC,ZZZ- Onderzoeksmedewerker Nucleaire Geneeskunde,slapend gemaakt omdat vanuit radiologie de nucleaire geneeskunde niet gebruikt wilt worden actiepunt 2027,X,
ONDPAL,ONDPAL,ZZZ - Onderzoeksmedewerker Palliatieve zorg,,X,
ONDRAD,ONDRAD,Onderzoeksmedewerker Radiologie,,LU,
ONDTRM,ONDTRM,Onderzoeksmedewerker Traumatologie,,LU,
OVZRG,OVZRG,Overige zorg,,O,
PACAR,PACAR,Physician assistant Cardiologie,,LU,
PAEND,PAEND,ZZZ - Physician assistant Endocrinologie,,X,
PALON,PALON,Physician assistant Longgeneeskunde,,LU,
PAKNO,PAKNO,ZZZ - Physician assistant KNO,,X,
PAORT,PAORT,Physician assistant Orthopedie,,LU,
PARMED,PARMED,Paramedicus,,FN,
PDMDW,PDMDW,ZZZ - Psychodiagnostisch medewerker,Onderzoeker tbv diagnose,X,
PDMMDW,PDMMDW,PDMS medewerker,,FN,
POLI,POLI,Polikliniek,,O,
RADLAB,RADLAB,Radiologie Laborant,,FU,
PS,PS,HiX Applications Services,,Z,
RESCHI,RESCHI,Researchverpleegkundige Chirurgie,,LU,
RESINT,RESINT,Researchverpleegkundige Interne Geneeskunde,,LU,
RESKAA,RESKAA,ZZZ - Researchverpleegkundige Kaakchirurgie,,X,
RESKNO,RESKNO,Researchverpleegkundige KNO,,FN,
RESORT,RESORT,Researchverpleegkundige Orthopedie,,LU,
RESPAL,RESPAL,ZZZ - Researchverpleegkundige Palliatieve zorg,,X,
RESPSY,RESPSY,ZZZ - Researchverpleegkundige Psychiatrie,,X,
RTHPLN,RTHPLN,Radiotherapie planners,,LU,
SECCAR,SECCAR,Medisch secretaresse / Poli-assistente Cardiologie,,LU,
GVPMAM,GVPMAM,ZZZ - Mammacareverpleegkundige,,X,
GVPPAL,GVPPAL,Verpleegkundig consulent palliatieve zorg,,LU,
GVPVAS,GVPVAS,ZZZ - Gespecialiseerd verpleegkundige Vasculaire geneeskunde,,X,
HAPMAN,HAPMAN,HAP Manager,,FU,
HIS,HIS,Huisartseninformatiesysteem,,FN,
INFPRV,INFPRV,Deskundige Infectiepreventie,,FU,
KLICHE,KLICHE,Klinisch Chemicus,,FU,
KLIPZP,KLIPZP,ZZZ - Planner Opname/OK die ook zorgpaden uitzet,,X,
KRAVZG,KRAVZGZZ,ZZZ - Kraamverzorgende,,X,
KSTMP,KSTMP,Secr. Kliniek (tijdelijke groep met maximale rechten),,T,
KVKIN,KVKIN,ZZZ - Verpleegkundige Kindergeneeskunde met PDMS,,X,
KZACAR,KZACAR,KZ Cardioloog,,X,
KZDIE,KZDIE,KZ Diëtist,,X,
KZKET,KZKET,KZ Ketenpartners,,O,
LOGPED,LOGPED,Logopedist,,LU,
MMIADM,MMIADM,MMI Administratie,,FU,
MMIANA,MMIANA,MMI Analist,,FU,
MONGYN,MONGYN,Monitor Gynaecologie,,LU,
MONHEM,MONHEM,Monitor Hematologie,,LU,
MONNEO,MONNEO,Monitor Neonatologie,,LU,
MONORT,MONORT,Monitor Orthopedie,,LU,
MONURO,MONURO,Monitor Urologie,,LU,
NUCADP,NUCADP,ZZZ - Nucleaire Geneeskunde Administratie Plus,slapend gemaakt omdat vanuit radiologie de nucleaire geneeskunde niet gebruikt wilt worden actiepunt 2027,X,
OKMDW,OKMDW,OK Medewerker,,FN,
OKSEC,OKSEC,OK Secretaresse,,ZH00000015,
ONDEND,ONDEND,Onderzoeksmedewerker Endocrinologie,,LU,
ONDIIF,ONDINF,Onderzoeksmedewerker Infectieziekten,,LU,
ONDMDW,ONDMDW,Onderzoeksmedewerker,"Deze tak is opgedeeld in groepen per specialisme.
De onderzoeksmedewerker krijgt via de functionaliteit ‘Mijn werklijst’ patiënten aangeboden die door specialisten uit het ziekenhuis zijn aangedragen (via dossier > order Trial in de beleidsorder) en kan deze koppelen aan de trial. Hij mag ook zelf patiënten zoeken en (ont)koppelen aan de trial. Hij helpt bij de logistieke uitvoering van het onderzoek: screenen en randomiseren van patiënten, bestellen en ophalen van medicatie bij de apotheek, bijhouden uitgifte en verbruik medicatie, verzamelen relevante patiëntgegevens voor de studie (afname bloed/vragenlijsten/gegevens ophalen op afdelingen), invoeren van gemeten waardes.
In HiX beschikt de onderzoeksmedewerker over inzagerechten op trials (afgeschermd op ziekenhuislocatie en trialcategorie) en alle rechten op trial-trajectkoppelingen (muteren is afgeschermd op ziekenhuislocatie en trialcategorie)",FN,
ONDNEU,ONDNEU,Onderzoeksmedewerker Neurologie,,LU,
ONDREV,ONDREV,Onderzoeksmedewerker Revalidatie,,LU,
ONDSPO,ONDSPO,Onderzoeksmedewerker Sportgeneeskunde,,LU,
PACHI,PACHI,Physician assistant Chirurgie,,LU,
PACTEC,PACTEC,Pacemakertechnicus,,FU,
PANEU,PANEU,Physician assistant Neurologie,,LU,
PAONC,PAONC,ZZZ - Physician assistant Oncologie,,X,
PATTRP,PATTRP,ZZZ - Patiëntentransport,,X,
PFMTST,PFMTST,Performancetests,,FU,
POKMDW,POKMDW,POK medewerker,,FU,
RESANE,RESANE,Researchverpleegkundige Anesthesiologie,,LU,
RADIOL,RADIOL,Radioloog,,FU,
RESIC,RESIC,Researchverpleegkundige IC,,FN,
RESINF,RESINF,Researchverpleegkundige Infectieziekten,,LU,
RESNEU,RESNEU,Researchverpleegkundige Neurologie,"Afdelingsbezettingsoverzicht en Dagoverzicht SEH toegevoegd. Dit is voor kwaliteitsdoeleinden, zij gaan na en vervolledigen de dossiers van patiënten t.b.v. de landelijke aanleveringen zoals de DASA en de QRNS.",LU,
RESONC,RESONC,Researchverpleegkundige Oncologie,,LU,
RESTAN,RESTAN,ZZZ - Researchverpleegkundige Bijzondere tandheelkunde,,X,
RESURO,RESURO,ZZZ - Researchverpleegkundige Urologie,,X,
SECCTG,SECCTG,ZZZ - Medisch secretaresse / Poli-assistente CTG,,X,
SECDER,SECDER,Medisch secretaresse / Poli-assistente Dermatologie,,LU,
SECDLY,SECDLY,Medisch secretaresse / Poli-assistente Dialyse ,,LU,
SECDIE,SECDIE,Medisch secretaresse / Poli-assistente Diëtetiek,,LU,
KSNEO,KSNEO,Secretaresse Neonatologie,,LU,
KVEND,KVEND,Verpleegkundige Endoscopie afdeling,,ZH00000007,
KZ,KZ,ZZZ - Ketenzorg,,X,
KZART,KZART,KZ Arts,,X,
KZFYSP,KZFYSP,KZ Fysiotherapie praktijken,,Z,
KZPSO,KZPSO,KZ Psycholoog,,X,
MEDCOD,MEDCOD-,Medisch codeur light,,FU,
MIMADM,MIMADM,ZZZ - Medische Immunologie Administratie,,X,
MMW,MMW,Medisch Maatschappelijk Werker,,FU,
MONEND,MONEND,Monitor Endocrinologie,,LU,
MONIMM,MONIMM,ZZZ - Monitor Immunologie,,X,
MONMDL,MONMDL,Monitor MDL,,LU,
MONOOG,MONOOG,Monitor Oogheelkunde,,LU,
MONSPO,MONSPO,Monitor Sportgeneeskunde,,LU,
NUCADM,NUCADM,ZZZ - Nucleaire Geneeskunde Administratie,slapend gemaakt omdat vanuit radiologie de nucleaire geneeskunde niet gebruikt wilt worden actiepunt 2027,X,
OKMAN,OKMAN,OK Manager,,ZH00000015,
OKSHB,OKSHB,OK Schipholbord,,S,
ONDGEC,ONDGEC,ZZZ - Onderzoeksmedewerker Gastro-enterologische chirurgie,,X,
ONDINT,ONDINT,Onderzoeksmedewerker Interne Geneeskunde,,LU,
ONDMDL,ONDMDL,Onderzoeksmedewerker MDL,,LU,
ONDOOG,ONDOOG,Onderzoeksmedewerker Oogheelkunde,,LU,
ONDPYN,ONDPYN,Onderzoeksmedewerker Pijngeneeskunde,,LU,
ONDVAA,ONDVAA,Onderzoeksmedewerker Vaatchirurgie,,LU,
PAANE,PAANE,Physician assistant Anesthesiologie,,LU,
PAHEM,PAHEM,Physician assistant Hematologie,,LU,
PAMDL,PAMDL,ZZZ - Physician assistant MDL,,X,
PAPSY,PAPSY,Physician assistant Psychiatrie,,LU,
PATADM,PATADM,Patiëntenadministratie,,FU,
PODA1,PODA1,Podotherapie Praktijk Administratie 1,,X,
POSMDW,POSMDW,POS-medewerker,,LU,
RADADP,RADADP,Radiologie Administratie Plus,,FU,
RESDIA,RESDIA,Researchverpleegkundige Diabetologie,,LU,
RESGER,RESGER,Researchverpleegkundige Geriatrie,,LU,
RESMAM,RESMAM,ZZZ - Researchverpleegkundige Mammacare,,X,
RESNEF,RESNEF,Researchverpleegkundige Nefrologie,,LU,
RESPYN,RESPYN,Researchverpleegkundige Pijngeneeskunde,,LU,
RESRTH,RESRTH,Researchverpleegkundige Radiotherapie,,FN,
RESVPL,RESVPL,Researchverpleegkundige,"Deze tak is opgedeeld in groepen per specialisme.
De researchverpleegkundige is de ‘spin-in-het-web’; deze medewerker ondersteunt patiënten en betrokken zorgverleners. Ook bewaakt hij de patiëntveiligheid en de kwaliteit van onderzoek, schrijft hij mee aan protocollen en helpt hij bij de verzameling van data.
In HiX beschikt de researchverpleegkundige over vrijwel dezelfde rechten als de verpleegkundig specialist. Aanvullend mag de researchverpleegkundige alle trials en trial-trajectkoppelingen inzien en muteren (niet verwijderen).",FN,
SCVRL1,SCVRL1,ZZZ - Secretaresse eerstelijns verloskunde,,X,
SECBEK,SECBEK,ZZZ - Medisch secretaresse / Poli-assistente Bekkenbodem,,X,
SECEND,SECEND,Medisch secretaresse / Poli-assistente Endocrinologie,,LU,
SECFYS,SECFYS,Medisch secretaresse / Poli-assistente Fysiotherapie,,LU,
SECGEC,SECGEC,ZZZ - Medisch secretaresse / Poli-assistente G-E chirurgie,,X,
SECGEV,SECGEV,ZZZ Medisch secretaresse / Poli-assistente Geestelijke verz.,,X,
SECHEM,SECHEM,Medisch secretaresse / Poli-assistente Hematologie,,LU,
SECINT,SECINT,Medisch secretaresse / Poli-assistente Interne Geneeskunde,,LU,
SECKAA,SECKAA,Medisch secretaresse / Poli-assistente Kaakchirurgie,,LU,
SECKIC,SECKIC,ZZZ - Medisch secretaresse / Poli-assistente Kinderchirurgie,,X,
SECKIN,SECKIN,Medisch secretaresse / Poli-assistente Kindergeneeskunde,,LU,
SECKNO,SECKNO,Medisch secretaresse / Poli-assistente KNO,,LU,
SECLCH,SECLCH,ZZZ - Medisch secretaresse / Poli-assistente Longchirurgie,,X,
SECLOG,SECLOG,Medisch secretaresse / Poli-assistente Logopedie,,LU,
ONDONC,ONDONC,Onderzoeksmedewerker Oncologie,,LU,
ONDURO,ONDURO,Onderzoeksmedewerker Urologie,,LU,
PAGER,PAGER,Physician assistant Geriatrie,,FN,
PAPDM,PAPDM,Physician assistant met PDMS,,FN,
PMTHP,PMTHP,ZZZ - Psychomotorisch Therapeut,,X,
PTHLOG,PTHLOG,Patholoog,,FU,
RESGEC,RESGEC,ZZZ -Researchverpleegkundige Gastro-enterologische chirurgie,,X,
RESNCH,RESNCH,Researchverpleegkundige Neurochirurgie,"Afdelingsbezettingsoverzicht en Dagoverzicht SEH toegevoegd. Dit is voor kwaliteitsdoeleinden, zij gaan na en vervolledigen de dossiers van patiënten t.b.v. de landelijke aanleveringen zoals de DASA en de QRNS.",LU,
RESREV,RESREV,ZZZ - Researchverpleegkundige Revalidatie,,X,
SECBAR,SECBAR,ZZZ - Medisch secretaresse / Poli-assistente Bariatrie,,X,
SECGYN,SECGYN,Medisch secretaresse / Poli-assistente Gynaecologie,,LU,
SECNCH,SECNCH,Medisch secretaresse / Poli-assistente Neurochirurgie,,LU,
SECNEF,SECNEF,Medisch secretaresse / Poli-assistente Nefrologie,,LU,
SECORT,SECORT,Medisch secretaresse / Poli-assistente Orthopedie,,LU,
SECNEU,SECNEU,Medisch secretaresse / Poli-assistente Neurologie,,LU,
SECONC,SECONC,Medisch secretaresse / Poli-assistente Oncologie,,LU,
SECPAR,SECPAR,ZZZ -Medisch secretaresse / Poli-assistente Paramedische Die,,X,
SECPOD,SECPOD,ZZZ - Medisch secretaresse / Poli-assistente Podotherapie,,X,
SECPLA,SECPLA,Medisch secretaresse / Poli-assistente Plastische Chirurgie,,LU,
SECPSO,SECPSO,ZZZ -Medisch secretaresse/Poli-assistenteMedisch Psychologie,,X,
SECREU,SECREU,Medisch secretaresse / Poli-assistente Reumatologie,,LU,
SECPAL,SECPAL,ZZZ -Medisch secretaresse / Poli-assistente Palliatieve zorg,,X,
SECSEK,SECSEK,ZZZ - Medisch secretaresse / Poli-assistente Seksuologie,,X,
SECTAN,SECTAN,Medisch secretaresse / Poli-assistente Tandarts,,LU,
SECSPO,SECSPO,Medisch secretaresse / Poli-assistente Sportgeneeskunde,,LU,
SECTXC,SECTXC,ZZZ - Medisch sec. / Poli-assistente Transplantatiechirurgie,,X,
SECVAA,SECVAA,Medisch secretaresse / Poli-assistente Vaatchirurgie,,LU,
SEH,SEH,Spoedeisende Hulp,,O,
SEHBO,SEHBO,ZZZ - SEH-secretaresse back office,,X,
SEHCO,SEHSCO,SEH senior coassistent,,FU,
SEHART,SEHART,SEH-arts/arts-assistent,,FU,
SEHMAN,SEHMAN,SEH-manager,,FU,
SEHSEC,SEHSEC,SEH-secretaresse,,FU,
SEHVPL,SEHVPL,SEH-verpleegkundige,,FU,
SEHTRA,SEHTRA,SEH Trauma aanlevering,,FU,
SEMCHI,SEMCHI,Semi-arts Chirurgie,,LU,
SEMANE,SEMANE,Semi-arts Anesthesiologie,,LU,
SEMGER,SEMGER,Semi-arts Geriatrie,,LU,
SEMDER,SEMDER,Semi-arts Dermatologie,,LU,
SEMGYN,SEMGYN,Semi-arts Gynaecologie,,LU,
SEMINT,SEMINT,Semi-arts Interne Geneeskunde,,LU,
SEMKAA,SEMKAA,Semi-arts Kaakchirurgie,,LU,
SEMLON,SEMLON,Semi-arts Longgeneeskunde,,LU,
SEMNCH,SEMNCH,Semi-arts Neurochirurgie,,LU,
SEMMDL,SEMMDL,Semi-arts MDL,,LU,
SEMNEU,SEMNEU,Semi-arts Neurologie,,LU,
SEMOOG,SEMOOG,Semi-arts Oogheelkunde,,LU,
SEMPSY,SEMPSY,Semi-arts Psychiatrie,,LU,
SEMPLA,SEMPLA,Semi-arts Plastische Chirurgie,,LU,
SEMREU,SEMREU,Semi-arts Reumatologie,,LU,
SEMPYN,SEMPYN,Semi-arts Pijngeneeskunde,,LU,
SEMRTH,SEMRTH,ZZZ - Semi-arts Radiotherapie,,X,
SEMURO,SEMURO,Semi-arts Urologie,,LU,
SPEBWC,SPEBWC,ZZZ - Specialist Brandwondencentrum,,X,
SPEC,SPEC,Arts/ Arts-assistent,,FN,
SPEBAR,SPEBAR,ZZZ - Bariatrisch Chirurg,,X,
SPECHI,SPECHI,Chirurg,,LU,
SPECTC,SPECTC,Cardiothoracaal chirurg,,LU,
SPEDER,SPEDER,Dermatoloog,,LU,
SPEGER,SPEGER,Geriater,,LU,
SPEGEC,SPEGEC,ZZZ - Gastro-entrologisch chirurg,,X,
SPEIC,SPEIC,Intensivist,,LU,
ONDPLA,ONDPLA,Onderzoeksmedewerker Plastische Chirurgie,,LU,
OPTOMT,OPTOMT,Optometrist,,LU,
PAINT,PAINT,Physician assistant Interne Geneeskunde,,LU,
PAPYN,PAPYN,ZZZ - Physician assistant Pijngeneeskunde,,X,
PODF1,PODF1,Podotherapie Praktijk Financieel 1,,X,
RADADM,RADADM,Radiologie Administratie,,FU,
RESGYN,RESGYN,Researchverpleegkundige Gynaecologie,,LU,
RESNEO,RESNEO,Researchverpleegkundige Neonatologie,,LU,
RESSPO,RESSPO,ZZZ - Researchverpleegkundige Sportgeneeskunde,,X,
SECCHI,SECCHI,Medisch secretaresse / Poli-assistente Chirurgie,,LU,
SECHRV,SECHRV,ZZZ - Medisch secretaresse / Poli-assistente Hartrevalidatie,,X,
SECOOG,SECOOG,Medisch secretaresse / Poli-assistente Oogheelkunde,,LU,
SECURO,SECURO,Medisch secretaresse / Poli-assistente Urologie,,LU,
SEMCTC,SEMCTC,Semi-arts Cardiothoracale Chirurgie,,LU,
SEMPDM,SEMPDM,Semi-arts met PDMS,,FN,
SPECAR,SPECAR,Cardioloog,,LU,
SPEGYN,SPEGYN,Gynaecoloog,,LU,
SPEIMM,SPEIMM,Klinisch Immunoloog,,LU,
SPEKAA,SPEKAA,Kaakchirurg,,LU,
SPEINF,SPEINF,Infectioloog,,LU,
SPEKIN,SPEKIN,Kinderarts,,LU,
SPEKNO,SPEKNO,KNO-arts,,LU,
SPELCH,SPELCH,ZZZ - Longchirurg,,X,
SPELON,SPELON,Longarts,,LU,
SPEMAM,SPEMAM,ZZZ - Mammachirurg,,X,
SPENCH,SPENCH,Neurochirurg,,LU,
SPENEO,SPENEO,Kinderarts-Neonatoloog - Neonatale Intensive Care Unit,,LU,
SPEONC,SPEONC,Oncoloog,,LU,
SPENEU,SPENEU,Neuroloog,,LU,
SPEOOG,SPEOOG,Oogarts,,LU,
SPEPAL,SPEPAL,Palliatieve arts,,LU,
SPEPLA,SPEPLA,Plastisch Chirurg,,LU,
SPEPSY,SPEPSY,Psychiater,,LU,
SPEPYN,SPEPYN,Pijnarts,,LU,
SPEREU,SPEREU,Reumatoloog,,LU,
SPERTH,SPERTH,Radiotherapeut,,LU,
SPESPO,SPESPO,Sportarts,,LU,
SPETRM,SPETRM,Traumachirurg,,LU,
SPETAN,SPETAN,Tandarts,,LU,
SPETXC,SPETXC,ZZZ - Transplantatiechirurg,,X,
SPEVAA,SPEVAA,Vaatchirurg,,LU,
SPS,SPS,Sedatiepraktijkspecialist,,FU,
ZH0007,BAPINZAG,Beperkt applicatiebeheer - inzage,,FN,
SYSBH+,SYSBH+,Systeembeheer incl. autorisatiebeheer,,FU,
TOA,TOA,Technisch Oogheelkundig Assistent (TOA),,LU,
TROMBO,TROMBO,ZZZ - Trombosedienst,,X,
TRPLCO,TRPLCO,Transplantatiecoördinator,,FU,
ZH0011,APBTECH,Applicatiebeheer Techniek,,FN,
VIMVCO,VIMVCO,ZZZ - VIM commissie,,X,
VIMMCO,VIMMCO,ZZZ - VIM meldingscommissie,,X,
VIMSF,VIMSF,ZZZ - VIM sleutelfiguur,,X,
VIMTL,VIMTL,ZZZ - VIM teamleider,,X,
VMS,VMS,Veiligheidsmanagement,,O,
VMSFCT,VMSFCT,ZZZ - VMS-functionaris,,X,
VOEADM,VOEADM,ZZZ - Voedingsadministratie,,X,
VPLBAR,VPLBAR,ZZZ - Verpleegkundig specialist Bariatrie,,X,
VPLCAR,VPLCAR,Verpleegkundig specialist Cardiologie,,LU,
VPLDER,VPLDER,Verpleegkundig specialist Dermatologie,,LU,
VPLGER,VPLGER,Verpleegkundig specialist Geriatrie,,FN,
VPLGYN,VPLGYN,Verpleegkundig specialist Gynaecologie,,LU,
VPLHEM,VPLHEM,Verpleegkundig specialist Hematologie,,LU,
VPLINF,VPLINF,Verpleegkundig specialist Infectieziekten,,FN,
VPLINT,VPLINT,Verpleegkundig specialist Interne Geneeskunde,,LU,
VPLKIN,VPLKIN,Verpleegkundig specialist Kindergeneeskunde,,LU,
VPLKAA,VPLKAA,Verpleegkundig specialist Kaakchirurgie,,LU,
VPLLON,VPLLON,Verpleegkundig specialist Longgeneeskunde,,LU,
VPLMDL,VPLMDL,Verpleegkundig specialist MDL,,LU,
OTAP,OTAP,OTAP-groep ChipSoft,,FU,
PAKAA,PAKAA,ZZZ - Physician assistant Kaakchirurgie,,X,
PAREU,PAREU,ZZZ - Physician assistant Reumatologie,,X,
PERFUS,PERFUS,Perfusionist,,FU,
PTHANA,PTHANA,Pathologie Analist,,FU,
RESEND,RESEND,Researchverpleegkundige Endocrinologie,,LU,
RESMDL,RESMDL,Researchverpleegkundige MDL,,LU,
RESREU,RESREU,Researchverpleegkundige Reumatologie,,LU,
SECANE,SECANE,Medisch secretaresse / Poli-assistente Anesthesiologie,,LU,
SECGER,SECGER,Medisch secretaresse / Poli-assistente Geriatrie,,LU,
SECMMW,SECMMW,ZZZ - Medisch secretaresse / Poli-assistente MMW,,X,
SECRTH,SECRTH,Medisch secretaresse / Poli-assistente Radiotherapie,,LU,
SEHRVB,SEHRVB,ZZZ - SEH ZiROP management,,X,
SEMKIN,SEMKIN,Semi-arts Kindergeneeskunde,,LU,
SEMSPO,SEMSPO,Semi-arts Sportgeneeskunde,,LU,
SPEICN,SPEICN,ZZZ - Intensivist inclusief NICE,,X,
SPENEF,SPENEF,Nefroloog,,LU,
SPEREV,SPEREV,Revalidatiearts,,LU,
SYSBH,SYSBH,Systeembeheer,,FU,
VHARTS,VHARTS,ZZZ - Verpleeghuisarts,,X,
VPLCHI,VPLCHI,Verpleegkundig specialist Chirurgie,,LU,
VPLNEO,VPLNEO,ZZZ - Verpleegkundig specialist Neonatologie,,X,
VPLNCH,VPLNCH,ZZZ - Verpleegkundig specialist Neurochirurgie,,X,
VPLONC,VPLONC,Verpleegkundig specialist Oncologie,,LU,
VPLOOG,VPLOOG,Verpleegkundig specialist Oogheelkunde,,LU,
VPLORT,VPLORT,Verpleegkundig specialist Orthopedie,,FN,
VPLPLA,VPLPLA,Verpleegkundig specialist Plastische Chirurgie,,LU,
VPLPAL,VPLPAL,Verpleegkundig specialist Palliatieve zorg,,LU,
VPLPDM,VPLPDM,ZZZ - Verpleegkundig specialist PDMS,,X,
VPLREU,VPLREU,Verpleegkundig specialist Reumatologie,07-01-2024 standaardwerkcontext op specialisme Immunologie toegevoegd n.a.v. 24 03 5001,LU,
VRL1,VRL1,Eerstelijns verloskunde,,O,
VPLSPE,VPLSPE,Verpleegkundig specialist,,FN,
VPLURO,VPLURO,Verpleegkundig specialist Urologie,,LU,
VRLOS+,VRLOS+,ZZZ - Eerstelijns verloskundige plus,,X,
VRLOS1,VRLOS1,Eerstelijns verloskundige,,FU,
VRLOS2,VRLOS2,Tweedelijns verloskundige,,FU,
000010,PAKLGM,Physician assistant Klinische Genetica (PMC),,LN,
000011,PAKLGC,Physician assistant Klinische Genetica (CMH),,LN,
000014,ONDUROO,Onderzoeksmedewerker Urologie oncologie (B&O),,ZH00000017,
ZKH,ZKH,Ziekenhuis,,O,
ZPAAIZ,ZPAAIZ,Zorgportaal Applicatie Account Interne Zorgverlener,,Z,
ZPAA,ZPAA,Zorgportaal Applicatie Accounts,,Z,
ZPAAK,ZPAAK,Zorgportaal Applicatie Account Kiosk,,Z,
