LIJSTID,CATEGORIE,LIJSTNAAM
CS00008142,ICVER,Wondverpleegplan
CS00027136,ICVER,Zelfbeleving
CS00037076,ICVER,Zorgzwaarte
CS00045703,ICVER,ZorgZwaarte personeel
CS00050876,ICVER,Zuurstofopname Vermogen (VO2)
CS00049114,IEEE,Algemeen
CS00049118,IEEE,Bradycardie instellingen
CS00049122,IEEE,Tachycardie instellingen
CS00004050,IMM,1. Nacontrole
CS00004056,IMM,1. Nacontrole op ca. 1 jaar na donatie
CS00004051,IMM,2. Is sinds vorige controle sprake geweest van:
CS00004052,IMM,3. Vraag of donor nog verder benaderd mag worden voor dezelfde ontvanger
CS00004053,IMM,4. Ingeval ontvanger is overleden
CS00010368,IMM,4. Overige
CS00004014,IMM,Aanvullend onderzoek
CS00009062,IMM,Aanvullende DO 1
CS00009065,IMM,Aanvullende DO 2
CS00004033,IMM,Abdomen
CS00009058,IMM,Accordering
CS00009070,IMM,Accordering
CS00009079,IMM,Accordering
CS00009095,IMM,Accordering
CS00009111,IMM,ACDA
CS00010427,IMM,Acties bij wijziging planning
CS00035879,IMM,Ademhaling
CS00035890,IMM,Ademhaling
CS00009097,IMM,Aferese
CS00009075,IMM,Aferese informatie
CS00009118,IMM,Aferese verslag
CS00009126,IMM,Aferese verslag
CS00009134,IMM,Aferese verslag
CS00009159,IMM,Aferese verslag
CS00009180,IMM,Aferese verslag
CS00009186,IMM,Aferese verslag
CS00004070,IMM,Afgelopen maand (t.b.v. WNV)
CS00004029,IMM,Algemeen
CS00009934,IMM,Algemeen
CS00035886,IMM,Algemene klachten
CS00035888,IMM,Algemene klachten
CS00036396,IMM,Allergic manifestations
CS00036407,IMM,Allergic manifestations
CS00034946,IMM,Allergie
CS00034952,IMM,Allergie volwassen
CS00004068,IMM,Anamnese donor
CS00008598,IMM,Anamnese donor
CS00004058,IMM,Anamnese donorkeuring
CS00004011,IMM,Anamnese en speciëel onderzoek
CS00036388,IMM,Any major bacterial infections
CS00036403,IMM,Any major bacterial infections
CS00036393,IMM,Any unusual infections
CS00036405,IMM,Any unusual infections
CS00009113,IMM,Astotube
CS00036398,IMM,Auto-immunity
CS00036409,IMM,Auto-immunity
CS00034424,IMM,"Auto-immunity new auto-immunity, which?"
CS00034414,IMM,"Auto-immunity, which?"
CS00009938,IMM,Autoimmuunziekten
CS00010372,IMM,Bijzonderheden
CS00010432,IMM,Bloedafnames
CS00004031,IMM,Bovenste extremiteiten
CS00009166,IMM,Buffycoatzakje(s)
CS00009117,IMM,Calcium
CS00010425,IMM,Checklijst donortraject
CS00010429,IMM,Checklijst Europdonor
CS00010431,IMM,Checklijst Granulocytendonortraject
CS00010434,IMM,Checklijst route BM afname bij familiedonoren
CS00010435,IMM,Checklijst voorbereiden beenmergafname t.b.v. MSC afname
CS00010436,IMM,Checklijst voorlichting en controle vaatstatus
CS00036397,IMM,Chronic organ pathology
CS00036408,IMM,Chronic organ pathology
CS00034413,IMM,"Chronic organ pathology, which?"
CS00009115,IMM,Cobe spectra
CS00009124,IMM,Componentenset RBCX
CS00009110,IMM,Componentenset WBC
CS00009179,IMM,Compontentenset TPE
CS00008595,IMM,Conclusie donorkeuring
CS00004015,IMM,Conclusie en beleid
CS00004008,IMM,Consult
CS00010909,IMM,Dag 0
CS00010866,IMM,Dag 1
CS00010887,IMM,Dag 1
CS00010908,IMM,Dag -1
CS00010867,IMM,Dag 2
CS00010894,IMM,Dag 2
CS00010907,IMM,Dag -2
CS00010868,IMM,Dag 3
CS00010895,IMM,Dag 3
CS00010906,IMM,Dag -3
CS00010869,IMM,Dag 4
CS00010898,IMM,Dag 4
CS00010905,IMM,Dag -4
CS00010873,IMM,Dag 5
CS00010901,IMM,Dag 5
CS00010904,IMM,Dag -5
CS00010875,IMM,Dag 6
CS00010902,IMM,Dag 6
CS00004979,IMM,Decursus
CS00034411,IMM,Details frequently recurring infections (when known)?
CS00034409,IMM,Details major bacterial infections?
CS00034426,IMM,Did the patient get a new diagnosis of:
CS00009140,IMM,Disposable set 971 E
CS00010428,IMM,DLI
CS00009057,IMM,DO Allogene stamcelaferese
CS00009069,IMM,DO Autologe stamcelaferese
CS00009073,IMM,DO Blastenaferese
CS00009074,IMM,DO Erythrocytaferese
CS00009076,IMM,DO Granulocytenaferese
CS00009078,IMM,DO Leukaferese voor DLI
CS00009091,IMM,DO Manuele leukaferese/Leukaferese mbv MCS+
CS00009094,IMM,DO Plasmaferese mbt Cobe spectra
CS00004704,IMM,Donorkeuring
CS00004705,IMM,Donorkeuring en anamnese
CS00009935,IMM,Erfelijke ziekten in de familie
CS00034404,IMM,ESID Registry
CS00034406,IMM,ESID Registry – controle patiënt
CS00034405,IMM,ESID Registry – nieuwe patiënt
CS00004035,IMM,Extremiteiten
CS00004017,IMM,Familie anamnese
CS00009059,IMM,Ferese volume bij stamceldonor
CS00009080,IMM,Feresevolume bij leukaferese voor DLI [alleen CD3]
CS00009082,IMM,Feresevolume bij leukaferese voor DLI [CD3 en CD4]
CS00010903,IMM,Filgrastim mobilisatieschema bij stamcelaferese voor kinderkliniek
CS00010864,IMM,Filgrastim mobilisatieschema t.b.v. stamcelaferese
CS00010882,IMM,Filgrastim mobilisatieschema voor granulocytenaferese
CS00036390,IMM,Frequently recurring infections
CS00036404,IMM,Frequently recurring infections
CS00036402,IMM,Gastroscopy
CS00004065,IMM,G-CSF
CS00004038,IMM,Genitalia
CS00004698,IMM,Glomerulonefritis
CS00004026,IMM,Haemorrhagische diathese
CS00009131,IMM,HAES-steril 6%
CS00009936,IMM,Hart- en vaatziekten/veneuze trombo-embolie/DM
CS00035875,IMM,Hart en vaten
CS00035889,IMM,Hart en vaten
CS00009167,IMM,Heparine/ACDA
CS00004697,IMM,HIV / AIDS
CS00004030,IMM,Hoofd / hals
CS00036401,IMM,HRCT thorax
CS00009941,IMM,Huid/hemostase
CS00034408,IMM,"If any major bacterial infections, which?"
CS00034410,IMM,"If frequently recurring infections, which?"
CS00036415,IMM,"If frequently recurring infections, which?"
CS00036418,IMM,"If new chronic organ pathology, which?"
CS00008596,IMM,IMM Klachten gezondheid donor
CS00036395,IMM,Inflammatory bowel disease
CS00036406,IMM,Inflammatory bowel disease
CS00034943,IMM,Intake kind
CS00034949,IMM,Intake volwassenen
CS00010438,IMM,Kennismaking
CS00010437,IMM,Keuring autologe donor
CS00004044,IMM,Klinisch opnameformulier
CS00004045,IMM,Klinische decursus
CS00004071,IMM,Laatste 12 maanden
CS00004013,IMM,Lichamelijk onderzoek
CS00004059,IMM,Lichamelijk onderzoek donorkeuring
CS00009937,IMM,Longaandoeningen
CS00009106,IMM,Lotnummer/vervaldatum
CS00009123,IMM,Lotnummer/vervaldatum
CS00009130,IMM,Lotnummer/vervaldatum
CS00009137,IMM,Lotnummer/vervaldatum
CS00009164,IMM,Lotnummer/vervaldatum
CS00009176,IMM,Lotnummer/vervaldatum
CS00036400,IMM,Lung function
CS00009940,IMM,Maag/darm/lever aandoeningen
CS00035880,IMM,Maag-darmkanaal en voeding
CS00035893,IMM,Maag-darmkanaal en voeding
CS00036399,IMM,Malignancy
CS00036410,IMM,Malignancy
CS00034416,IMM,Medication
CS00034431,IMM,Medication
CS00010439,IMM,Mobilisatieschema
CS00004699,IMM,Multiple Sclerose (MS)
CS00004700,IMM,Myasthenie gravis
CS00009112,IMM,"NaCl 0,9%"
CS00004037,IMM,Neurologisch onderzoek
CS00009939,IMM,Neurologische aandoeningen
CS00034430,IMM,New results gastroscopy
CS00034429,IMM,New results HRCT thorax
CS00034428,IMM,New results lung function
CS00034427,IMM,New results vaccine responses
CS00035883,IMM,Nieren en urinewegen
CS00004069,IMM,Nu
CS00004040,IMM,Onderste extremiteiten
CS00034947,IMM,"Ontwikkeling, groei, inentingen"
CS00034953,IMM,"Ontwikkeling, groei, inentingen volwassen"
CS00009150,IMM,Opbouw en controle
CS00004042,IMM,Opdrachten aan verpleegkundigen
CS00004046,IMM,Opnamegegevens
CS00034415,IMM,Other:
CS00034407,IMM,Overall clinical presentation of the patient
CS00009942,IMM,Overdraagbare of besmettelijke ziekten
CS00004980,IMM,Overdracht
CS00005303,IMM,Overdracht aan derden
CS00005306,IMM,Overdracht materiaal
CS00010099,IMM,Overig
CS00034948,IMM,Overige klachten
CS00034954,IMM,Overige klachten volwassen
CS00004043,IMM,Poliklinisch vervolg consult
CS00004055,IMM,Preparatie
CS00009116,IMM,Product
CS00009125,IMM,Product
CS00009133,IMM,Product
CS00009152,IMM,Product
CS00009157,IMM,Product
CS00009170,IMM,Product
CS00009177,IMM,Product
CS00009185,IMM,Product
CS00004036,IMM,Rectaal toucher
CS00004064,IMM,Risico's en bijwerkingen beenmergdonatie
CS00004066,IMM,Risico's en bijwerkingen G-CSF en aferese
CS00004039,IMM,Rug
CS00004701,IMM,Servere Combined Immunodeficiency (SCID)
CS00004018,IMM,Speciële anamnese
CS00035885,IMM,"Spieren, botten en gewrichten"
CS00004702,IMM,Systemische Lupus Erythematodes (SLE)
CS00004072,IMM,Telefonisch consult
CS00009071,IMM,Telefonisch overleg
CS00004032,IMM,Thorax
CS00009114,IMM,Toegang tot de vaatbaan
CS00004067,IMM,Toestemming donor
CS00009132,IMM,Toevoeging: 25mL Duralock aan HAES-steril
CS00009121,IMM,Totalen/eindresultaten
CS00009128,IMM,Totalen/eindresultaten
CS00009135,IMM,Totalen/eindresultaten
CS00009153,IMM,Totalen/eindresultaten
CS00009160,IMM,Totalen/eindresultaten
CS00009172,IMM,Totalen/eindresultaten
CS00009181,IMM,Totalen/eindresultaten
CS00004012,IMM,Tractus
CS00035877,IMM,Tractus anamnese
CS00035887,IMM,Tractus anamnese
CS00034956,IMM,Tractus anamnese kind
CS00035873,IMM,Tractus anamnese volwassenen (portaal)
CS00004027,IMM,Tractus Centraal Zenuwstelsel
CS00004019,IMM,Tractus Circulatorius
CS00004022,IMM,Tractus Digestivus
CS00004025,IMM,Tractus Endocrien
CS00004028,IMM,Tractus Huidafwijkingen
CS00004024,IMM,Tractus Locomotorius
CS00004020,IMM,Tractus Respiratorius
CS00004023,IMM,Tractus Urogenitalis
CS00004063,IMM,Traject donor
CS00009169,IMM,Transferzak
CS00009165,IMM,Transferzak(ken)
CS00004060,IMM,Uitbesteed onderzoek donorkeuring
CS00010426,IMM,Vaatstatus
CS00034417,IMM,Vaccine responses
CS00009119,IMM,Verpleegkundige rapportage
CS00009127,IMM,Verpleegkundige rapportage
CS00009188,IMM,Verpleegkundige rapportage
CS00010433,IMM,Vervolg checklijst Granlocytendonortraject
CS00004010,IMM,Verwijsgegevens
CS00004041,IMM,Vitale functies
CS00019187,IMM,Vitale functies
CS00004049,IMM,Voorbereiding
CS00004062,IMM,Voorlichting donor
CS00034944,IMM,Vult u hieronder alstublieft in welke ziektes in de familie voorkomen
CS00034950,IMM,Vult u hieronder alstublieft in welke ziektes in de familie voorkomen
CS00034951,IMM,Vult u onderstaande aanvullende vragen over uw klachten s.v.p. zo volledig mogelijk in
CS00034945,IMM,Vult u onderstaande vragen over de klachten van uw kind s.v.p. zo volledig mogelijk in
CS00004034,IMM,Wervelkolom
CS00009103,IMM,WR Blastenaferese
CS00009122,IMM,WR Erythrocytaferese
CS00009129,IMM,WR Granulocytenaferese
CS00009136,IMM,WR Leukaferese mbv MCS+
CS00009155,IMM,WR Leukaferese voor DLI
CS00009162,IMM,WR Manuele leukaferese
CS00009175,IMM,WR Plasmaferese Cobe spectra
CS00009182,IMM,WR Stamcelaferese Cobe spectra
CS00035884,IMM,Zenuwstelsel/zintuigen
CS00004703,IMM,Ziekte van Graves
CS00004048,IMMDNR,Eerste nacontrole
CS00004057,IMMDNR,Keuringsbesluit donorkeuring
CS00004054,IMMDNR,Tweede nacontrole
CS00004061,IMMDNR,Voorlichtingsgesprek en anamnese donor
CS00043074,INFPRV,Aanmelden voor eradicatie
CS00046744,INFPRV,Acinetobacter spp.
CS00043069,INFPRV,Anamnese contactonderzoek
1000016025,INFPRV,Antibioticagebruik
1000016024,INFPRV,Behandelaar extern
1000016023,INFPRV,Behandeling
CS00036983,INFPRV,Behandeling dragerschap
1000016021,INFPRV,Behandelingen
1000016709,INFPRV,Bevindingen
CS00046423,INFPRV,Bloedstroominfecties
1000016001,INFPRV,BRMO dossier
CS00046526,INFPRV,Clostridium difficile infectie (CDI)
CS00047449,INFPRV,Communicatie
1000016710,INFPRV,Conclusie
CS00042248,INFPRV,Consulten
CS00053149,INFPRV,Contactonderzoek
CS00040648,INFPRV,Controle isolatiemaatregelen
CS00050138,INFPRV,Controle isolatiemaatregelen
CS00052996,INFPRV,Controle isolatiemaatregelen
1000016010,INFPRV,CPE
CS00053916,INFPRV,Datum staalafname
CS00029338,INFPRV,Derde kweek
1000018728,INFPRV,Derde positieve lijnsepsis volgens CDC definitie
CS00029341,INFPRV,Derde vervolgkweek
CS00029391,INFPRV,Details isolatie-indicatie
1000016708,INFPRV,Details lijn
CS00036982,INFPRV,Eerste kweek
CS00029337,INFPRV,Eerste vervolgkweek
CS00046743,INFPRV,Enterobacteriaceae
CS00046742,INFPRV,Enterococcus spp.
CS00053151,INFPRV,Eradicatie en/of controle dragerschap
1000016006,INFPRV,Follow-up
1000016012,INFPRV,Follow-up
1000016019,INFPRV,Follow-up
1000016029,INFPRV,Follow-up
1000017272,INFPRV,Follow-up
CS00043065,INFPRV,Follow-up
CS00053150,INFPRV,Follow-up
CS00049752,INFPRV,Follow-up bij contactonderzoek
1000016007,INFPRV,Follow-up detail
CS00043075,INFPRV,Follow-up kweeksets
CS00053842,INFPRV,Follow-up kweeksets
CS00049753,INFPRV,Follow-up positieve patiënt
CS00054004,INFPRV,Follow-up positieve patiënt
CS00043076,INFPRV,Follow-up verslag
CS00043068,INFPRV,Follow-up verslagen
1000016005,INFPRV,Geinformeerd behandelaar
1000016022,INFPRV,Gezinssamenstelling
CS00036980,INFPRV,Herinnering
CS00051312,INFPRV,In te richten door het ziekenhuis
1000014676,INFPRV,Incidentie POWI
1000014674,INFPRV,Incidentie POWI losse inclusie
CS00043066,INFPRV,Inclusie
CS00043072,INFPRV,Index
CS00028164,INFPRV,Indien patiënt beschikbaar voor beantwoording
CS00046426,INFPRV,Infectie
CS00046528,INFPRV,Infectie
CS00053834,INFPRV,Infectiedatum
CS00043067,INFPRV,Inventarisatie
CS00033798,INFPRV,Isolatie-indicatie
CS00045856,INFPRV,Isolatiemaatregelen
1000016003,INFPRV,Kenmerken
1000016011,INFPRV,Kenmerken
1000016017,INFPRV,Kenmerken
1000016028,INFPRV,Kenmerken
CS00046738,INFPRV,Klik hier om de opnamehistorie in te zien
CS00043070,INFPRV,Klinisch contact andere instelling
CS00033797,INFPRV,Kweekschema
CS00043073,INFPRV,Kweekset familie
CS00043071,INFPRV,Kweeksets
CS00036979,INFPRV,Kweeksets sturen
1000016008,INFPRV,Kweekuitslag
1000016014,INFPRV,Kweekuitslag
1000016020,INFPRV,Kweekuitslag
1000016030,INFPRV,Kweekuitslag
1000017273,INFPRV,Kweekuitslag
CS00036981,INFPRV,Kweekuitslagen
CS00046529,INFPRV,Laboratorium
CS00046740,INFPRV,Laboratorium
1000016707,INFPRV,Lijninfectie registratie UMCU
1000018725,INFPRV,Lijninfectie volgens CDC definitie
1000018724,INFPRV,Lijnsepsis volgens PREZIES definitie
CS00026728,INFPRV,Locatie/Aanvrager isolatie-indicatie
1000016004,INFPRV,Melding
1000016018,INFPRV,Melding
1000017271,INFPRV,Melding
CS00047138,INFPRV,Micro-organisme 1
CS00047139,INFPRV,Micro-organisme 2
CS00047140,INFPRV,Micro-organisme 3
1000016002,INFPRV,MR Acinetobacter
1000016016,INFPRV,MRSA
CS00029005,INFPRV,MRSA/BRMO verslag
CS00029004,INFPRV,MRSA/BRMO Verslaglegging
CS00031869,INFPRV,MRSA/BRMO vragen patient
1000016712,INFPRV,Negatieve lijnsepsis
CS00034008,INFPRV,Overdracht Infectiepreventie
CS00026725,INFPRV,Overige isolatie-indicaties
CS00046424,INFPRV,Patiënt
1000016711,INFPRV,Positieve lijnsepsis
1000011345,INFPRV,Prevalentie
1000017270,INFPRV,PRSP
CS00046745,INFPRV,Pseudomonas aeruginosa
CS00046741,INFPRV,Staphylococcus aureus
CS00029336,INFPRV,Tweede kweek
1000018726,INFPRV,Tweede positieve lijnsepsis volgens CDC definitie
CS00029339,INFPRV,Tweede vervolgkweek
1000016713,INFPRV,Validatie
CS00046425,INFPRV,Verblijf
CS00046527,INFPRV,Verblijf
CS00036978,INFPRV,Verslaglegging kweekuitslagen
CS00039741,INFPRV,Verslaglegging kweekuitslagen (per isolatie)
CS00036985,INFPRV,Vervolgkweek
CS00036984,INFPRV,Vervolgkweken
CS00029340,INFPRV,Vierde kweek
1000016027,INFPRV,VRE
1000016009,INFPRV,Vrij verklaring
1000016015,INFPRV,Vrij verklaring
1000016026,INFPRV,Vrij verklaring
1000016031,INFPRV,Vrij verklaring
1000017275,INFPRV,Vrij verklaring
1000013871,INFPRV,ZIP Consult
CS00051326,INFPRVZKH,In te richten door het ziekenhuis
CS00004859,INFZ,A
CS00005885,INFZ,Aangedane zijde links
CS00005886,INFZ,Aangedane zijde rechts
CS00003552,INFZ,Aanvullend onderzoek
CS00003542,INFZ,Abdomen
1000016032,INFZ,Accidenteel contact met potentieel infectieuze vloeistof
CS00009755,INFZ,Advies infectiepreventie
CS00003538,INFZ,Algemeen
CS00003522,INFZ,Anamnese en speciëel onderzoek
CS00003525,INFZ,Anamnese verpleegkundig specialist
CS00005797,INFZ,Arteria
CS00005798,INFZ,Arteria links
CS00005799,INFZ,Arteria rechts
CS00005809,INFZ,Beweeglijkheid
CS00005810,INFZ,Beweeglijkheid links
CS00005811,INFZ,Beweeglijkheid rechts
CS00003540,INFZ,Bovenste extremiteiten
CS00003535,INFZ,Centraal Zenuwstelsel
CS00003555,INFZ,Conclusie en beleid
CS00003520,INFZ,Consult
1000001225,INFZ,Dagboekportaal
CS00009757,INFZ,Dagboekportaal
CS00004912,INFZ,Decursus
CS00007922,INFZ,Expositie anamnese
CS00003524,INFZ,Familie anamnese
CS00003546,INFZ,Genitalia
CS00003533,INFZ,Genitalia externa
CS00008508,INFZ,Glasgow-coma Scale
CS00006460,INFZ,Hep A
CS00003539,INFZ,Hoofd / hals
CS00005786,INFZ,Huiddefect
CS00005788,INFZ,Huiddefect links
CS00005787,INFZ,Huiddefect rechts
CS00005782,INFZ,Hyperkeratose
CS00005783,INFZ,Hyperkeratose links
CS00005784,INFZ,Hyperkeratose rechts
R000009757,INFZ,INF Dagboek portaal
CS00010181,INFZ,INF Kinderwens (trigger)
CS00010180,INFZ,INF Medicamenten (trigger)
CS00005513,INFZ,Infectieziekten consult
1000015192,INFZ,Intake reiziger
1000008260,INFZ,Jaarlijkse controle HIV
1000018224,INFZ,Jaarlijkse controle HIV arts
1000018457,INFZ,Jaarlijkse controle HIV vpk
CS00003523,INFZ,Klachtenregistratie
CS00003599,INFZ,Klinisch opnameformulier
CS00003609,INFZ,Klinische decursus
CS00003537,INFZ,Lichamelijk onderzoek
CS00005893,INFZ,Monifalementtest rechts
CS00005892,INFZ,Monofilamenttest links
CS00003549,INFZ,Onderste extremiteiten
CS00003556,INFZ,Opdrachten aan verpleegkundigen
CS00004952,INFZ,Overdracht
CS00003536,INFZ,Overige tracti
CS00005816,INFZ,PIM HIV
CS00003614,INFZ,Poliklinisch vervolgconsult
1000001224,INFZ,Portaalbeheer
CS00009748,INFZ,Portaalbeheer
CS00005807,INFZ,Rechts
CS00003544,INFZ,Rectaal toucher
CS00003548,INFZ,Rug
1000012289,INFZ,Samenvatting
CS00003526,INFZ,Speciële anamnese
CS00003611,INFZ,Speciële anamnese
CS00003527,INFZ,Speciële anamnese (trigger)
CS00005791,INFZ,Stemvorkproef links
CS00005792,INFZ,Stemvorkproef rechts
CS00003615,INFZ,Telefonisch consult
CS00005805,INFZ,Tenenstand
CS00005806,INFZ,Tenenstand links
CS00005790,INFZ,Testen
CS00003541,INFZ,Thorax
CS00003528,INFZ,Tractus
CS00003529,INFZ,Tractus Circulatorius
CS00003531,INFZ,Tractus Digestivus
CS00003534,INFZ,Tractus Locomotorius
CS00003530,INFZ,Tractus Respiratorius
CS00003532,INFZ,Tractus Urogenitalis
CS00010380,INFZ,Verkorte tractus anamnese
CS00009736,INFZ,Verpleegkundig beleid nieuwe patiënt
CS00003521,INFZ,Verwijsgegevens
CS00007962,INFZ,Vitale functies
CS00005880,INFZ,Voeten
CS00005776,INFZ,Voetenonderzoek RVA
CS00005813,INFZ,Voetmaat
CS00005814,INFZ,Voetmaat links
CS00005815,INFZ,Voetmaat rechts
CS00005800,INFZ,Voetstand
CS00005801,INFZ,Voetstand links
CS00005802,INFZ,Voetstand rechts
1000013880,INFZ,Voorbereiding polikliniek consult
1000000200,INFZ,Voorgeschiedenis
CS00026193,INT," LHRH test"
1000016219,INT,01 Over zijn/haar ontwikkeling. Hoe oud was hij/zij toen hij/zij
1000016220,INT,02 Wat is zijn/haar huidige niveau voor
1000016221,INT,03 Vragen over gedrag bij TSC. Heeft u ooit moeilijkheden gehad met een van de volgende zaken
1000016222,INT,04 Gedragsproblemen die mogelijk beantwoorden aan de criteria voor specifieke psychiatrische aand.
1000016223,INT,05 Ongeveer de helft van de mensen met TSC heeft een verstandelijke beperking
1000016224,INT,06 Veel schoolgaande kinderen met TSC hebben leermoeilijkheden
1000016225,INT,07 De meerderh. van de mensen met TSC ondervindt moelijkheden met één of meer specif. vaardigheden
1000016226,INT,08 TSC kan een enorme impact hebben op het functioneren van mensen. Heeft u ooit problemen gehad met
1000016227,INT,09 Wanneer we alle zaken die we net hebben overlopen bij elkaar nemen
1000016228,INT,10 Van alle bezorgdheden die u net heeft aangehaald
1000016229,INT,11 Andere bezorgdheden mbt TAND
1000016230,INT,12 Oordeel van de ondervrager
CS00024152,INT,24-uurs bloeddrukmeting
CS00046989,INT,24-uurs bloeddrukmeting
CS00024151,INT,24-uurs bloeddrukmeting (trigger)
CS00026264,INT,24-uurs bloeddrukmeting (trigger)
CS00024154,INT,30 min. bloeddrukmeting
CS00046990,INT,30 min. bloeddrukmeting
CS00024153,INT,30 min. bloeddrukmeting (trigger)
CS00026266,INT,30 min. bloeddrukmeting (trigger)
CS00029697,INT,6 minutes walking test
CS00000086,INT,Aanvullend onderzoek
CS00029627,INT,Aanvullend onderzoek
CS00000081,INT,Abdomen
CS00013000,INT,Abdomen
CS00013001,INT,Abdomen uitgebreid
CS00029629,INT,Activiteiten
CS00029777,INT,Activiteiten in het dagelijks leven
CS00029475,INT,Acuut
CS00029481,INT,Acuut
CS00024212,INT,Afwijkingen hoofd/hals (trigger)
CS00015900,INT,Algehele indruk
CS00000077,INT,Algemeen
CS00012984,INT,Algemeen
CS00012985,INT,Algemene indruk
CS00029582,INT,Anamnese
CS00007741,INT,Anamnese en specieel onderzoek
CS00000064,INT,Anamnese en speciëel onderzoek
CS00029775,INT,Angst/somberheid
CS00038836,INT,Avond
CS00052617,INT,Beleid
CS00052618,INT,Beleid
CS00052620,INT,Beleid
CS00052621,INT,Beleid
CS00029467,INT,Beoordeling medicatie
CS00052607,INT,Beoordeling medicatie
CS00029464,INT,Beoordeling nierfunctie
CS00052606,INT,Beoordeling risico op post-contrast acute nierschade
CS00029471,INT,Bepaling hydratieschema
CS00029468,INT,Bepaling risicofactoren
CS00026741,INT,Bevindingen kreatininebeloop
CS00029617,INT,Bij wie
CS00038834,INT,Bloeddruk
CS00038832,INT,Bloeddrukmeting Thuismeting
1000017885,INT,Botten
CS00000079,INT,Bovenste extremiteiten
CS00025736,INT,Bovenste extremiteiten
CS00029606,INT,Breuk anders
CS00029613,INT,Breuk anders
CS00029589,INT,Breuk bovenarm
CS00029597,INT,Breuk bovenarm
CS00029601,INT,Breuk bovenbeen
CS00029609,INT,Breuk bovenbeen
CS00029603,INT,Breuk enkel
CS00029610,INT,Breuk enkel
CS00029591,INT,Breuk hand
CS00029599,INT,Breuk hand
CS00029586,INT,Breuk heup
CS00029594,INT,Breuk heup
CS00029602,INT,Breuk onderbeen
CS00029608,INT,Breuk onderbeen
CS00029590,INT,Breuk pols
CS00029598,INT,Breuk pols
CS00029587,INT,Breuk rib
CS00029595,INT,Breuk rib
CS00029588,INT,Breuk sleutelbeen
CS00029596,INT,Breuk sleutelbeen
CS00029605,INT,breuk teen
CS00029612,INT,breuk teen
CS00029600,INT,Breuk vinger
CS00029607,INT,Breuk vinger
CS00029604,INT,Breuk voet
CS00029611,INT,Breuk voet
CS00029585,INT,Breuk wervel
CS00029593,INT,Breuk wervel
CS00000074,INT,Centraal zenuwstelsel
CS00029470,INT,Conclusie
CS00052624,INT,Conclusie
CS00000087,INT,Conclusie en beleid
CS00000062,INT,Consult
CS00005529,INT,Consult
CS00017737,INT,Consult interne geneeskunde
CS00029459,INT,Contrastpoli
CS00052626,INT,Contrastpoli (CP)
CS00052605,INT,Contrastpoli (NP)
CS00029469,INT,Controle patient
CS00052627,INT,Controle patiënt
CS00024156,INT,CT-Scan
CS00024155,INT,CT-scan (trigger)
CS00029773,INT,"Dagelijkse activiteiten, bijv. werk, studie, huishouden, gezins- en vrijetijdsactiviteiten"
CS00000061,INT,DDR Interne geneeskunde dataset
CS00004972,INT,Decursus
CS00029640,INT,DEXA-meting T-score
CS00024417,INT,Diabetes Mellitus (trigger)
CS00026269,INT,Diastole dinamap
CS00024158,INT,ECG
CS00024157,INT,ECG (trigger)
CS00024161,INT,Echografie
CS00024159,INT,Echografie (trigger)
CS00024163,INT,EEG
CS00024162,INT,EEG (trigger)
CS00029474,INT,Electief
CS00029480,INT,Electief
CS00024165,INT,EMG
CS00024164,INT,EMG (trigger)
CS00029632,INT,Emotionele problemen
CS00024167,INT,Endoscopie
CS00024166,INT,Endoscopie (trigger)
CS00013016,INT,Extremiteiten
CS00013017,INT,Extremiteiten uitgebried
CS00000065,INT,Familie anamnese
CS00029614,INT,Familie anamnese
CS00049435,INT,Fibroscan
CS00064575,INT,Fibroscan
CS00024169,INT,Functieonderzoeken
CS00024168,INT,Functieonderzoeken (trigger)
1000017881,INT,Genetica
CS00000083,INT,Genitalia
CS00013002,INT,Genitalia externa
CS00013003,INT,Genitalia externa uitgebreid
CS00029633,INT,Gevoel
CS00013014,INT,Gewrichten
CS00013015,INT,Gewrichten uitgebreid
CS00029776,INT,Gezondheidsmeter
CS00029628,INT,Gezondheidsvragenlijst I
CS00029770,INT,Gezondheidsvragenlijst II
CS00026187,INT,H2 ademtest
CS00026186,INT,H2 ademtest (trigger)
CS00029695,INT,Handknijpkracht
1000017883,INT,Hart
CS00012989,INT,Hart
CS00024146,INT,Hart- en vaatziekten (trigger)
CS00012990,INT,Hart uitgebreid
CS00055407,INT,Hepatitis B - registratie vaccinatie
1000017877,INT,Hersenen
CS00000078,INT,Hoofd / hals
CS00024211,INT,Hoofd / hals
CS00012986,INT,Hoofd Hals
CS00012987,INT,Hoofd Hals uitgebreid
1000017882,INT,Huid
CS00013018,INT,Huid
CS00013019,INT,Huid uitgebreid
CS00029619,INT,Hulpmiddelen
CS00029545,INT,Indicatie voor nefrologische evaluatie
CS00038831,INT,INT AO Bloeddrukmeting thuis (trigger)
CS00030553,INT,INT Auscultatie longen (trigger)
CS00063819,INT,INT Kernset Tubereuze Sclerose - Hersenen
CS00063820,INT,INT Kernset Tubereuze Sclerose - Hersenen
CS00063822,INT,INT Kernset Tubereuze Sclerose - Longen
CS00063811,INT,INT Kernset Tubereuze Sclerose - Nieren
CS00063812,INT,INT Kernset Tubereuze Sclerose - Nieren
CS00030552,INT,INT LO Afwijkingen mammae (trigger)
CS00030551,INT,INT LO Hartafwijkingen (trigger)
CS00030549,INT,INT LO Longafwijkingen (trigger)
